,id,name,rating,address,city,lat,long
167,UmO9W8_9i1GddWugF4qlzQ,devil & angel desserts,3.2,2025 diamond blvd,Concord,37.97100995782107,-122.0578996033897
168,6WAov74KqG8Z0e3BBSzuow,lilikoi boba,2.7,3080 el cerrito plz,El Cerrito,37.9012846543175,-122.29965603051448
169,YX2sXMTg-NCnuVGCiDkZtQ,bober tea & coffee,4.2,1029 arnold dr,Martinez,37.99543,-122.10837
170,cY8-KnCc1LXYw7u9RRkx0w,teaspoon,4.2,2125 polk st,San Francisco,37.7963159707234,-122.421975955367
171,k_mlzQpZ0Ezw6Dg_I2EXHw,t4,3.3,315 broadway,Millbrae,37.601183,-122.392173
172,81YpTDmHXim2lGhSprUCgg,li cha tea,3.6,4010 e ave,Livermore,37.68075,-121.748024
173,uR8vrPZxPWllsF98CWMxgQ,sharetea,4.2,41 moraga way,Orinda,37.878776044155,-122.181543722122
174,XJx-HmMf1M0seM3OmhSjCw,t4 tea for,2.7,2120 springs rd,Vallejo,38.10627,-122.21695
175,tCjO8oR2xKEeiPqFRWaJpw,qualitea,4.2,4023 18th st,San Francisco,37.760835,-122.4333314
176,LMGouMu2T9IEgqjUgdfuTQ,lilikoi,4.2,3108 fillmore st,San Francisco,37.79827,-122.43548
177,TBWeoElqTGHAcgOHCdju8g,t4,3.5,1033 b st,Hayward,37.6731435370977,-122.082034402975
178,blu-Lki84ufB-azvwiSaVA,ts cafe,4.3,4754 mission st,San Francisco,37.72205594046743,-122.43711280247992
179,yn5gA62ekL-TzKBBI_rq-A,boba guys,4.1,429 stockton st,San Francisco,37.79,-122.40729
180,ogDqy21P4Il_h2J8i_y0kQ,hay tea,3.7,15251 hesperian blvd,San Leandro,37.69783,-122.13036
181,tc-0kxFG8ByUKl6Y-nfYaA,boba guys - san ramon,3.8,6000 bollinger canyon rd,San Ramon,37.76336602105679,-121.95949816110615
182,wlChvd_E28RJBNd7RYH7Sw,yi fang taiwan fruit tea,4.4,645 irving st,San Francisco,37.76385,-122.46497
183,FDWzJzrx2AqOvev4s7V3Ug,1011 sip tea,3.9,2127 irving st,San Francisco,37.76314,-122.48084
184,b96ex0qTid1oW8hpAuNsTA,tp tea,4.3,2383 telegraph ave,Berkeley,37.867178,-122.258682
185,W3I4ZfyUaG2zVjBpujkfcA,aqua club dessert & beverage,4.3,440 san mateo ave,San Bruno,37.62256,-122.41094
186,Uvo_Eh_Fk6BGyLdl8W9Bxw,happy lemon,3.8,2701 stoneridge dr,Pleasanton,37.6955285,-121.8495894
187,SIF-j6JUJQ_xVBYFQqVAug,molly jasmine,4.5,225 g st,Davis,38.54437,-121.739359
188,fOiiJhDBImzWfwQ2TWfV8g,lady luck cafe,4.1,956 grant ave,San Francisco,37.79588,-122.40649
189,zqRvYDkBHLRwrNwSKrsl0w,le dessert lab,3.9,3288 pierce st c113,Richmond,37.89918877974311,-122.30703353287672
190,VXU2FuAOiB-BzwPNMsMY4A,lilikoi on broadway,4.7,1355 broadway,Burlingame,37.585065,-122.365325
191,6n_p-USzpOuXKSMAYQ2OGw,feng cha teahouse,4.2,99 yerba buena ln,San Francisco,37.78517632881106,-122.40373912435462
192,rint9WSyhzjR1e20nbMDJw,yifang taiwan fruit tea,4.5,1349 locust st,Walnut Creek,37.89834505615618,-122.0621008595256
193,AdABvu7gwwRjZKzVLQeDOQ,tea hut,3.9,2815 california st,San Francisco,37.78783,-122.44073
194,1LDXPE6Zgky7FaC5aeqa2w,t4 - tea 4 u,4.0,2212 16th st,Sacramento,38.5645592885008,-121.491134092212
195,GAjcnzG6lo_pLZqdKCx9yw,pink pink tea shoppe,4.1,1737 post st,San Francisco,37.785148987521026,-122.4308617456493
