,id,name,rating,price,review_count,address,city,lat,long
581,iUmbKyDGGWawQIthH_Plkg,Teaspoon,4.3,$$,63,"2151 Salvio St, Concord, CA 94520",Concord,37.978008,-122.034393
582,9pg0Yv2ZaA5ZkN4TUfoBgw,Breaktime Tea,4.5,$$,90,"790 Oak Grove Rd, Ste C1, Concord, CA 94518",Concord,37.938493,-122.024158
583,lxSe6gMhscHsh-dsnc2_nA,Teaspoon,4.2,$$,70,"2977 Ygnacio Valley Rd, Walnut Creek, CA 94598",Walnut Creek,37.926289087271485,-122.0146928
584,jlPt9YYpGdjuX_GB4oKTWQ,Saigon Bistro,3.6,$$,918,"1701 Willow Pass Rd, Ste F, Concord, CA 94520",Concord,37.973981721353994,-122.04150613387456
585,SrVPfy_bFjJajT3nVC_ybg,Uji Time Dessert,4.2,$$,216,"1679 Willow Pass Rd, Concord, CA 94520",Concord,37.97341,-122.04203
586,4BjTYFr61yZyoBPaAeQ1Fg,Mochinut - Concord,4.3,N/A,195,"1801 Sutter St, Ste H, Concord, CA 94520",Concord,37.973315104278335,-122.03824173420276
587,eJOtQJQUWfnl_xNL_4HTjQ,Bondadoso Coffee and Tea Collective,4.3,$,649,"2195 N Broadway St, Walnut Creek, CA 94596",Walnut Creek,37.9100964,-122.06248860716676
588,aG8Tl7YNKTL5kE4n1T0TWg,Surf City Squeeze,3.3,$,61,"282 Sun Valley Mall, Spc K-101, Space K-101, Concord, CA 94520",Concord,37.969208,-122.061346
589,5JbhXwdZrJJxbzoHcXQ_Hw,Panache Caffe,4.1,$,140,"3653 Mt Diablo Blvd, Lafayette, CA 94549",Lafayette,37.8906068,-122.1277333
590,iXE-cOJ-Zjqw-Ppqywp7fw,Chalogy,4.1,$,75,"1349 Locust St, Ste A, Walnut Creek, CA 94596",Walnut Creek,37.8981,-122.06206
591,2rJhnZtSSkfR1cdCUXxa_Q,Crumbl - Concord,3.1,$$,514,"2015 Diamond Blvd, Ste E-150, Concord, CA 94520",Concord,37.9713492,-122.0566621
592,168JCbfPASa30FoHZZaIEg,Boba Guys,4.0,$,777,"1522 Fillmore St, San Francisco, CA 94115",San Francisco,37.7835723012686,-122.43270881474
593,47ZJmCp8O7HsiXmwA33Slw,My Bottle Tea & Coffee,4.2,N/A,40,"3005 Silver Creek Rd, Ste 120, San Jose, CA 95121",San Jose,37.30973,-121.81354
594,Xlpn65pb_N3dOAh4r3CPRg,Teaspoon,4.2,$$,83,"2060 Santa Rosa Ave, Ste B1, Santa Rosa, CA 95407",Santa Rosa,38.4181,-122.712151
595,pe6gWOOmCOp2lV1BDLmhiA,BAMBU,3.9,$,676,"6050 Geary Blvd, San Francisco, CA 94121",San Francisco,37.7804,-122.48458
596,r4bC7cNa-EAppRmvwck5jw,Aloh-o,3.2,N/A,62,"800 Redwood Hwy, Ste 114, Mill Valley, CA 94941",Mill Valley,37.898284654118335,-122.5141584243896
597,w1uCJEPCnMaE4eHrctjyCg,Lovey's Tea Shoppe,4.4,$$,315,"4430 Coast Hwy, Pacifica, CA 94044",Pacifica,37.609369,-122.494654
598,JUp30yMPWuSXtPG5Vboymw,Quarters Teahouse,4.9,N/A,17,"1111 Taraval St, San Francisco, CA 94116",San Francisco,37.742792,-122.478174
599,mezq8L-VuAkqYhIxFi3qYA,Tea Annie,4.0,$,202,"1712 Miramonte Ave, Ste A, Mountain View, CA 94040",Mountain View,37.3723,-122.08801
600,Y0TZKv0YU0c_naSxkWMsYw,Let's Roll,4.4,$$,30,"2421 Clement St, San Francisco, CA 94121",San Francisco,37.78185279104134,-122.4852958
601,U0Ab8EohVIY17wWC-Pc3TA,Gong Cha,3.8,$$,395,"439 Waverley St, Palo Alto, CA 94301",Palo Alto,37.447628,-122.160728
602,tHvgE2qHhY4sSCMQ7vRCbA,K On the Go,4.3,$$,184,"261 W Calaveras Blvd, Milpitas, CA 95035",Milpitas,37.427861520798,-121.9115091
603,4DN2wJ7kpT7Ri0DSkqXbWQ,Ten Ren Tea,4.3,$,866,"1732 N Milpitas Blvd, Milpitas, CA 95035",Milpitas,37.4555854711176,-121.909984275479
604,wlChvd_E28RJBNd7RYH7Sw,Yi Fang Taiwan Fruit Tea,4.4,$$,202,"645 Irving St, San Francisco, CA 94122",San Francisco,37.76385,-122.46497
605,sc48tb_OFrzb1BqqevAuvg,Teaspoon Los Altos,3.9,$$,1015,"4546 El Camino Real, Los Altos, CA 94022",Los Altos,37.401254171244,-122.114469291963
606,tByCp65MqGLeAE_2EfKoUw,Moomo Tea,4.3,$$,267,"715 Sunnyvale Saratoga Rd, Sunnyvale, CA 94087",Sunnyvale,37.367406620016965,-122.033443
607,uQZWL_sSwEnyEO-RchtO9Q,BAMBU,3.4,$,472,"189 W Washington Ave, Sunnyvale, CA 94086",Sunnyvale,37.37632,-122.03125
608,o4HE0lP3JnEMDdnL7fcHkg,Tastea,4.0,$$,268,"114 E El Camino Real, Sunnyvale, CA 94087",Sunnyvale,37.366107,-122.031368
609,13zmcyBajcObO6ntCOD0uQ,Tea Era,3.9,$,1673,"271 Castro St, Mountain View, CA 94041",Mountain View,37.3929561,-122.0792811
610,VX7R42WUqqkkqw2dGRX13g,Feng Cha,4.6,N/A,20,"1040 Grant Rd, Ste 350, Mountain View, CA 94040",Mountain View,37.3795786289211,-122.0741173972075
611,MBsmVkpfos-50Ai9XBnraQ,Mochi Waffle Corner ,4.3,$,131,"805 E El Camino Real, Ste F, Mountain View, CA 94040",Mountain View,37.37566,-122.06196
612,yQt6uz2m_Ix3-zQOqUs1QA,Yi Fang Taiwan Fruit Tea,4.1,N/A,123,"143 Castro St, Mountain View, CA 94041",Mountain View,37.39446430331029,-122.0783804380321
613,vwTE29Q4sh8eZFydMU9Cdg,MoonTea,4.2,$$,125,"513 S Pastoria Ave, Sunnyvale, CA 94086",Sunnyvale,37.37043718780045,-122.0410635
614,KfXpRlOq7YLUhbfuvgKvoQ,Pekoe,3.9,N/A,151,"939 W El Camino Real, Sunnyvale, CA 94087",Sunnyvale,37.3717447,-122.0460903353957
615,R9hUPmEzMcdLbDy94Ls3iQ,Teazzi Tea Shop,4.1,N/A,190,"200 W McKinley Ave, Ste 105, Sunnyvale, CA 94086",Sunnyvale,37.37446762768437,-122.03253504478828
616,rOe8-DJ7dFW_sqmWY6FtwQ,Ktea Cafe,3.9,$,364,"139 S Murphy Ave, Ste B, Sunnyvale, CA 94086",Sunnyvale,37.3770679,-122.0305125
617,rCBVxm_qOFrXSoTisugvPg,TP Tea,4.2,$$,67,"567 E El Camino Real, Ste B, Sunnyvale, CA 94087",Sunnyvale,37.363564,-122.026035
618,PoHUn6cDV8uQqn-_CuKgjw,Chun Yang Tea,4.1,$$,225,"1120 Kifer Rd, Ste C, Sunnyvale, CA 94086",Sunnyvale,37.37328985370428,-121.99966342331312
619,K1jfltjJ59i2FCfbpQKd9Q,Chick & Tea - Sunnyvale,3.7,$$,249,"587 E El Camino Real, Sunnyvale, CA 94087",Sunnyvale,37.3626756,-122.0257344
620,2D4BJ55JuON3eooNP6pCzA,Bober Tea,3.5,$$,270,"231 W Washington Ave, Sunnyvale, CA 94086",Sunnyvale,37.3764,-122.03162
621,lSxLULahBJrbAfNAHTbmnA,R&B Tea - Sunnyvale,4.2,N/A,33,"568 E El Camino Real, Sunnyvale, CA 94087",Sunnyvale,37.362453129145194,-122.0272947
622,S2ccyF_QlWhqiWEBEAM23w,Teaspoon,3.6,$$,71,"134 Castro St, Mountain View, CA 94041",Mountain View,37.394726,-122.07878
623,G_AKAgQIzPp0otTcDWPW-Q,Pastel Tea Lounge,3.9,N/A,62,"1161 Lawrence Expy, Sunnyvale, CA 94089",Sunnyvale,37.39739,-121.99672
624,Sf-GVp2exZ_p-S7deZp7Hw,Boba Guys,3.9,N/A,57,"201 1st St, Los Altos, CA 94022",Los Altos,37.37863882139123,-122.1182382
625,scN_RHovlnr12EDuO92wxQ,BAMBU,4.6,$,47,"3700 Thomas Rd, Ste 101, Santa Clara, CA 95054",Santa Clara,37.386288,-121.960759
626,V_hE0jTOG-h4sQesCqh5kw,Verde Tea Cafe,3.4,$,1183,"852 Villa St, Mountain View, CA 94041",Mountain View,37.39423,-122.07954
627,swkEDm67BAYzELj4MNJSSw,Happy Lemon,4.3,$$,76,"742 Villa St, Mountain View, CA 94041",Mountain View,37.39368635050309,-122.07837493798311
628,_rlHLZf345cMulwLZqMJxg,Tong Sui,4.3,$$$,668,"927 E Arques Ave, Ste 151, Sunnyvale, CA 94085",Sunnyvale,37.381387,-122.007585
629,_W3J1DwcoLmeCkGsdth1Pw,Sunnywich Cafe,4.4,$,87,"223 East Maude Ave, Sunnyvale, CA 94085",Sunnyvale,37.3878822408982,-122.024536281978
630,calRHdr5m0KTiV18qkSH4Q,Sweet Diplomacy,4.4,N/A,211,"209 1st St, Los Altos, CA 94022",Los Altos,37.378601,-122.117934
631,Y3kud7rdJayknEtpMDONBw,Lisa's Tea Treasures,3.8,$$,286,"167 Main St, Los Altos, CA 94022",Los Altos,37.3791381,-122.114947
632,u7jkh72lArCE6wO734-kKg,Happy Lemon,4.1,$,323,"520 Lawrence Expy, Ste 301, Sunnyvale, CA 94085",Sunnyvale,37.38287,-121.99508
633,f_QRM3QTcdUYe3fDuJq7pg,Boba Drive,4.0,$,500,"677 Tasman Dr, Sunnyvale, CA 94089",Sunnyvale,37.403205,-122.008605
634,bQKPl0RJRKjX3K3GU3OwQg,Chaiyo  Boba,4.5,N/A,11,"101 S Murphy Ave, Sunnyvale, CA 94086",Sunnyvale,37.377648,-122.030315
635,jg3nl0MQDEpTRLHYdKwRKQ,Meet Fresh,2.8,$$,199,"3958 Rivermark Plz, Santa Clara, CA 95054",Santa Clara,37.394989,-121.946781
636,PsLD76F5PAv6rfN3ofyA9w,Queen House,3.4,$$,909,"273 Castro St, Mountain View, CA 94041",Mountain View,37.39293,-122.07925
637,4PbV4jf7mwY6kXWL-bK7IQ,Ocha Tea Café & Restaurant,3.3,$$,633,"1350 Grant Rd, Ste 8, Mountain View, CA 94040",Mountain View,37.3770405227974,-122.076683293475
638,4bs7O6lGsvz6muhBE1tsCA,Cafe 86,4.2,$,171,"738 Villa St, Mountain View, CA 94041",Mountain View,37.393634,-122.0782005668648
639,RVUaRde2ceXVIuA5KXMieA,Mr Sun Tea,3.7,$$,141,"801 W El Camino Real, Mountain View, CA 94040",Mountain View,37.38558,-122.08427
640,ZpkgFuJ3CFKgNZTObTDw6Q,Hanabusa Café,3.7,$$,694,"201 S Mary Ave, Ste 1, Sunnyvale, CA 94086",Sunnyvale,37.378639,-122.04662
